City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
177,luza,60.6308,47.2512,30.43399999999999,90,100,3.21,RU,2024-11-12
178,yellowknife,62.456,-114.3525,18.41000000000008,99,100,5.14,CA,2024-11-12
179,petropavlovsk-kamchatsky,53.0452,158.6483,23.594000000000072,50,20,4.0,RU,2024-11-12
180,vilyuchinsk,52.9306,158.4028,25.07000000000006,78,47,5.21,RU,2024-11-12
181,aioun,16.6614,-9.6149,85.442,13,0,2.38,MR,2024-11-12
182,upper dir,35.2058,71.8756,50.504000000000055,60,23,2.35,PK,2024-11-12
183,korsakov,46.6328,142.7813,22.838000000000044,64,23,5.77,RU,2024-11-12
184,cholula,19.0641,-98.3035,74.35400000000006,27,20,2.24,MX,2024-11-12
185,isangel,-19.55,169.2667,74.10200000000007,87,1,2.95,VU,2024-11-12
186,lautoka,-17.6167,177.4667,75.05600000000003,88,20,1.03,FJ,2024-11-12
187,buenos aires,-34.6132,-58.3772,75.99199999999999,42,0,6.17,AR,2024-11-12
188,constantia,44.1833,28.65,41.68399999999999,76,89,6.41,RO,2024-11-12
189,akureyri,65.6835,-18.0878,46.32800000000007,53,75,15.43,IS,2024-11-12
190,nabire,-3.3667,135.4833,74.35400000000006,94,100,1.53,ID,2024-11-12
191,iwaki,37.05,140.8833,59.0,73,1,4.25,JP,2024-11-12
192,saint joseph,39.7686,-94.8466,53.54600000000005,58,0,5.81,US,2024-11-12
193,atherton,53.5237,-2.4935,48.254000000000055,82,100,1.33,GB,2024-11-12
194,kodiak,57.79,-152.4072,33.31400000000004,80,75,2.06,US,2024-11-12
195,itaituba,-4.2761,-55.9836,103.22600000000008,26,100,2.19,BR,2024-11-12
196,rovinj,45.08,13.64,50.846000000000046,58,6,3.95,HR,2024-11-12
197,touros,-5.1989,-35.4608,85.47800000000007,54,52,5.76,BR,2024-11-12
198,richards bay,-28.783,32.0377,69.15200000000007,90,100,3.54,ZA,2024-11-12
199,luderitz,-26.6481,15.1594,69.53000000000004,56,38,9.83,,2024-11-12
200,sitka,57.0531,-135.33,42.69199999999999,81,100,2.57,US,2024-11-12
201,riversdale,18.1659,-76.9642,88.05200000000008,70,89,1.1,JM,2024-11-12
202,qianzhou,28.3167,109.7167,63.608,71,93,1.35,CN,2024-11-12
203,nyurba,63.2842,118.3319,12.883999999999991,97,99,1.26,RU,2024-11-12
204,saint-joseph,-21.3667,55.6167,73.77800000000006,78,67,4.76,RE,2024-11-12
205,ulsteinvik,62.3432,5.8487,54.320000000000064,77,100,1.34,NO,2024-11-12
206,colchani,-20.3,-66.9333,67.71200000000006,17,0,6.04,BO,2024-11-12
207,gore,-46.1028,168.9436,45.33800000000005,96,10,0.83,NZ,2024-11-12
208,zambezi,-13.5432,23.1047,69.83600000000007,73,37,2.61,ZM,2024-11-12
209,juba,4.8517,31.5825,79.934,62,47,1.58,SS,2024-11-12
210,tual,-5.6667,132.75,80.816,81,100,3.46,ID,2024-11-12
211,new norfolk,-42.7826,147.0587,56.714000000000034,76,61,1.15,AU,2024-11-12
212,khanpur,28.6453,70.6567,77.86400000000003,28,0,3.05,PK,2024-11-12
213,vorkuta,67.5,64.0,-13.125999999999934,100,99,1.58,RU,2024-11-12
214,patterson,37.4716,-121.1297,52.10600000000003,68,2,2.16,US,2024-11-12
215,fort mcmurray,56.7268,-111.381,36.98600000000007,86,100,7.2,CA,2024-11-12
216,jinghong,21.991,100.7341,64.058,97,0,1.41,CN,2024-11-12
217,el vigia,8.6219,-71.6506,86.88200000000002,60,86,2.0,VE,2024-11-12
218,mount pearl,47.5166,-52.7813,55.92200000000004,96,100,6.17,CA,2024-11-12
219,pollachi,10.6667,77.0167,74.26400000000004,87,97,1.11,IN,2024-11-12
220,trincomalee,8.5711,81.2335,81.35600000000002,80,94,2.16,LK,2024-11-12
221,lepsy,46.235,78.9456,28.43600000000007,62,100,4.59,KZ,2024-11-12
222,naxos,37.1056,25.3764,64.31000000000009,72,20,1.54,GR,2024-11-12
223,kalabo,-14.97,22.6814,70.26800000000009,75,76,2.51,ZM,2024-11-12
224,mount isa,-20.7333,139.5,85.766,26,54,4.63,AU,2024-11-12
225,aiud,46.3,23.7167,40.208000000000006,84,99,0.59,RO,2024-11-12
226,flin flon,54.7682,-101.865,37.23800000000004,81,40,6.17,CA,2024-11-12
227,tsiombe,-25.3,45.4833,72.42800000000007,89,36,2.36,MG,2024-11-12
228,baruun-urt,46.6806,113.2792,29.42600000000009,65,5,3.84,MN,2024-11-12
229,biltine,14.5333,20.9167,83.80400000000006,17,1,4.57,TD,2024-11-12
230,beberibe,-4.1797,-38.1306,84.308,55,31,4.89,BR,2024-11-12
231,caracal,44.1167,24.35,37.56200000000005,96,100,0.75,RO,2024-11-12
232,namibe,-15.1961,12.1522,73.00400000000005,70,73,5.46,AO,2024-11-12
233,la ronge,55.1001,-105.2842,35.852000000000075,87,100,4.63,CA,2024-11-12
234,metlili chaamba,32.2667,3.6333,67.13600000000007,34,0,3.6,DZ,2024-11-12
235,mandalgovi,45.7625,106.2708,31.28000000000004,44,6,4.03,MN,2024-11-12
236,nizhnesortymskiy,62.4397,71.7603,-8.589999999999968,98,58,3.5,RU,2024-11-12
237,duayaw-nkwanta,7.1724,-2.1028,79.592,64,86,1.12,GH,2024-11-12
238,raja,8.4596,25.678,82.74199999999999,34,23,1.98,SS,2024-11-12
239,chibougamau,49.9168,-74.3659,26.22200000000004,80,75,6.69,CA,2024-11-12
240,box elder,41.5005,-112.8764,43.610000000000085,51,100,11.35,US,2024-11-12
241,margate,51.3813,1.3862,51.69199999999999,76,52,1.79,GB,2024-11-12
242,hadibu,12.65,54.0333,78.33200000000002,74,1,4.01,YE,2024-11-12
243,kailua-kona,19.6406,-155.9956,74.55200000000008,81,40,1.54,US,2024-11-12
244,garachico,28.7781,-17.7646,68.108,68,40,5.66,ES,2024-11-12
245,carupano,10.6678,-63.2585,84.542,71,99,3.46,VE,2024-11-12
246,maun,-19.9833,23.4167,80.56400000000004,57,20,2.57,BW,2024-11-12
247,sidi okba,34.7451,5.8983,71.88800000000005,33,20,2.06,DZ,2024-11-12
248,nushki,29.5542,66.0215,60.58399999999999,21,0,1.69,PK,2024-11-12
249,amga,60.8953,131.9608,-3.981999999999964,100,93,0.8,RU,2024-11-12
250,novobelokatay,55.7062,58.9549,26.02400000000001,96,100,6.28,RU,2024-11-12
251,greymouth,-42.4667,171.2,43.86200000000006,89,13,2.4,NZ,2024-11-12
252,angaur state,6.906,134.13,82.94000000000003,73,70,1.36,PW,2024-11-12
253,dwarka,22.2394,68.9678,81.266,65,0,5.92,IN,2024-11-12
254,korla,41.7597,86.1469,45.55400000000005,57,43,1.51,CN,2024-11-12
255,vila franca do campo,37.7167,-25.4333,70.21400000000003,99,100,5.07,PT,2024-11-12
256,garoowe,8.4054,48.4845,80.52800000000006,60,75,8.99,SO,2024-11-12
